STPCode,07/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,02/03/2020,04/03/2020,08/03/2020,01/03/2020,28/02/2020,03/03/2020,07/02/2020,05/03/2020,06/03/2020
E54000005,,,,,,,,,,7,,,7,10,9,18,21,19,31,28,30,37,32,35,38,32,42,41,51,47,50,40,29,34,30,25,10,23,23,16,15,,,,,,,,,,
E54000006,,,,,,,,,,,,,,,,,6,,8,9,6,9,14,19,16,12,21,13,15,15,14,16,13,11,13,21,10,8,8,15,10,,,,,,,,,,
E54000007,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,6,,,,,,,,,,,,
E54000008,,,,,,,,,,,,,,,,,,,,6,6,,,,8,,6,10,12,11,,7,,9,,,,,,,,,,,,,,,,,
E54000009,,,,,,,,,,,,,,,,6,,,8,,7,10,6,16,13,16,18,6,17,21,16,16,11,13,13,9,12,12,6,16,10,,,,,,,,,,
E54000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E54000012,,,,,,,,,6,10,7,9,13,16,7,13,19,26,22,25,20,26,35,34,27,25,34,22,22,32,25,21,24,11,6,,6,6,6,,,,,,,,,,,,
E54000013,,,,,,,,,,,,,,,,9,6,,14,6,12,13,12,19,11,13,13,12,9,15,9,9,12,14,7,7,11,,7,,11,,,,,,,,,,
E54000014,,,,,,,,6,,,,,,6,8,6,16,18,28,14,23,15,19,24,29,22,32,28,17,18,11,24,24,21,22,19,14,12,10,12,19,,,,,,,,,,
E54000015,,,,,,,,,,6,,10,6,8,14,16,12,12,15,17,7,11,20,20,27,13,21,18,24,23,16,18,18,15,25,18,14,13,14,16,13,,,,,,,,,,
E54000016,,,,,,,,,,,,,,,,,,,,,6,,10,9,,,,,,,,,,,,,6,,,,,,,,,,,,,,
E54000017,,,,,,,,8,,,,6,7,9,,15,18,21,22,27,30,22,26,32,35,25,17,33,19,19,19,20,8,12,11,16,15,22,17,15,15,,,,,,,,,,
E54000020,,,,,,,,,,,,8,7,7,6,9,,12,12,12,8,14,20,9,21,20,26,21,17,28,16,16,17,13,17,13,12,12,13,19,10,,,,,,,,,,
E54000021,,,,,,,,,,,,8,,10,8,9,10,8,8,13,14,15,22,18,6,18,18,13,15,16,28,12,14,12,14,10,,6,7,,,,,,,,,,,,
E54000022,,,,,,,,,,,,,,7,6,10,7,12,17,11,21,13,12,14,13,22,16,10,14,11,11,10,18,13,24,19,17,17,13,9,8,,,,,,,,,,
E54000023,,,,,,,,,,,,,7,,,,,,,,10,,,,,9,,6,11,7,6,6,,8,,9,,6,,,,,,,,,,,,,
E54000024,,,,,,,,,,,,,6,,8,9,11,11,9,9,14,9,18,16,19,23,20,15,19,23,18,18,12,,18,8,12,12,7,6,,,,,,,,,,,
E54000025,,,,,,,,,,9,,,15,,6,14,10,14,13,12,26,21,32,27,31,26,29,18,19,29,18,24,15,24,18,25,25,15,20,,7,,,,,,,,,,
E54000026,,,,,,,,,,,,7,12,11,21,14,18,34,34,37,43,35,48,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
E54000027,,,,,,,,9,8,10,12,12,9,15,11,15,17,19,19,15,22,20,20,19,9,9,9,10,,,,,,6,9,,,,,,,,,,,,,,,,
E54000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E54000033,,,,,,,,,,,,,,,8,,,,6,,,8,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
E54000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E54000036,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
E54000037,,,,,,,,,,,,,,,,,,7,,11,9,6,,9,9,,10,6,,,,,,,,,6,,,,,,,,,,,,,,
E54000040,,,,,,,,,,,,,,,,,,,,,6,,8,,,11,9,9,,12,13,15,17,9,21,7,15,19,,,,,,,,,,,,,
E54000041,,,,,,,,,,,,,,6,,,,,8,11,12,9,13,8,11,14,6,9,14,15,10,15,6,9,12,7,,8,8,,6,,,,,,,,,,
E54000042,,,,,,,,,,,,,,,9,,,,7,,9,6,8,6,11,7,16,,20,10,17,16,8,7,11,7,,8,8,14,,,,,,,,,,,
E54000043,,,,,,,,,,,,,,,,,6,12,11,8,10,13,14,12,8,15,14,17,10,,,,,,,,,,,,,,,,,,,,,,
E54000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E54000049,,,,,,,,,,,,,6,10,,11,15,18,29,29,28,29,40,40,37,31,44,47,37,51,44,30,26,25,39,28,19,13,16,,8,,,,,,,,,,
