age	male	risk_cons	risk_cons_uci	risk_cons_lci	risk_respiratory	risk_respiratory_uci	risk_respiratory_lci	risk_cf	risk_cf_uci	risk_cf_lci	risk_asthmacat_2	risk_asthmacat_2_uci	risk_asthmacat_2_lci	risk_asthmacat_3	risk_asthmacat_3_uci	risk_asthmacat_3_lci	risk_cardiac	risk_cardiac_uci	risk_cardiac_lci	risk_diabcat_2	risk_diabcat_2_uci	risk_diabcat_2_lci	risk_diabcat_3	risk_diabcat_3_uci	risk_diabcat_3_lci	risk_diabcat_4	risk_diabcat_4_uci	risk_diabcat_4_lci	risk_hypertension	risk_hypertension_uci	risk_hypertension_lci	risk_af	risk_af_uci	risk_af_lci	risk_dvt_pe	risk_dvt_pe_uci	risk_dvt_pe_lci	risk_pad	risk_pad_uci	risk_pad_lci	risk_cancerExhaem_2	risk_cancerExhaem_2_uci	risk_cancerExhaem_2_lci	risk_cancerExhaem_3	risk_cancerExhaem_3_uci	risk_cancerExhaem_3_lci	risk_cancerExhaem_4	risk_cancerExhaem_4_uci	risk_cancerExhaem_4_lci	risk_cancerHaem_2	risk_cancerHaem_2_uci	risk_cancerHaem_2_lci	risk_cancerHaem_3	risk_cancerHaem_3_uci	risk_cancerHaem_3_lci	risk_cancerHaem_4	risk_cancerHaem_4_uci	risk_cancerHaem_4_lci	risk_liver	risk_liver_uci	risk_liver_lci	risk_stroke	risk_stroke_uci	risk_stroke_lci	risk_dementia	risk_dementia_uci	risk_dementia_lci	risk_tia	risk_tia_uci	risk_tia_lci	risk_neuro	risk_neuro_uci	risk_neuro_lci	risk_kidneyfn_2	risk_kidneyfn_2_uci	risk_kidneyfn_2_lci	risk_kidneyfn_3	risk_kidneyfn_3_uci	risk_kidneyfn_3_lci	risk_transplant	risk_transplant_uci	risk_transplant_lci	risk_dialysis	risk_dialysis_uci	risk_dialysis_lci	risk_spleen	risk_spleen_uci	risk_spleen_lci	risk_autoimmune	risk_autoimmune_uci	risk_autoimmune_lci	risk_ibd	risk_ibd_uci	risk_ibd_lci	risk_immunosuppression	risk_immunosuppression_uci	risk_immunosuppression_lci	risk_smi	risk_smi_uci	risk_smi_lci	risk_ldr	risk_ldr_uci	risk_ldr_lci	risk_ds	risk_ds_uci	risk_ds_lci	p50	p70	p80	p90
18	1	.0003456	.0005288	.0002259	.0007897	.0012903	.0004833	.0004074	.0017551	.0000945	.0003803	.0005859	.0002469	.0006736	.0011812	.000384	.0005222	.0008347	.0003267	.0005764	.0009175	.0003621	.0010843	.0017101	.0006874	.00103	.0016622	.0006381	.0004532	.0007074	.0002903	.0004587	.0007737	.000272	.0008182	.0013334	.000502	.0007342	.0013815	.0003901	.0018889	.0037959	.0009395	.0006629	.0013779	.0003189	.0004092	.0008314	.0002013	.0044184	.0095018	.0020518	.0014228	.0033513	.0006037	.0007118	.0014743	.0003436	.0009815	.0016172	.0005957	.0005184	.0009217	.0002916	.0003755	.0010973	.0001285	.0004011	.0008268	.0001945	.0008566	.001451	.0005056	.000698	.0012456	.0003911	.0022954	.0043144	.0012206	.0002731	.0005381	.0001386	.0004792	.0009598	.0002393	.0011017	.0021148	.0005738	.0004477	.0007139	.0002807	.0006482	.0010819	.0003883	.001699	.0032961	.0008754	.0006106	.0009922	.0003757	.000936	.0015092	.0005804	.0009276	.001819	.0004729	.0007723	.0012051	.001667	.002724
19	1	.0003669	.0005574	.0002415	.0008382	.0013614	.0005161	.0004325	.0018593	.0001006	.0004037	.0006177	.0002639	.000715	.0012472	.0004098	.0005543	.0008805	.0003489	.0006119	.0009677	.0003868	.0011509	.0018033	.0007344	.0010933	.0017534	.0006816	.000481	.000746	.0003102	.0004869	.0008166	.0002903	.0008685	.0014067	.0005362	.0007793	.0014595	.000416	.0020049	.0040115	.0010015	.0007037	.0014567	.0003399	.0004343	.0008787	.0002146	.0046895	.0100446	.0021862	.0015102	.0035447	.0006431	.0007555	.0015584	.0003662	.0010419	.0017063	.0006361	.0005503	.0009732	.0003111	.0003986	.0011616	.0001368	.0004258	.000874	.0002074	.0009092	.0015313	.0005398	.0007409	.0013153	.0004174	.0024364	.0045575	.0013018	.0002899	.0005687	.0001478	.0005087	.0010144	.000255	.0011694	.0022344	.0006119	.0004752	.0007529	.0003	.0006881	.0011416	.0004147	.0018033	.0034829	.0009333	.0006482	.0010467	.0004013	.0009935	.0015923	.0006198	.0009846	.0019218	.0005043	.0007723	.0012051	.001667	.002724
20	1	.0003894	.0005879	.000258	.0008897	.0014372	.0005507	.000459	.0019701	.0001069	.0004285	.0006517	.0002818	.0007589	.0013176	.0004371	.0005884	.0009294	.0003725	.0006495	.0010212	.000413	.0012216	.0019028	.0007842	.0011604	.0018507	.0007275	.0005106	.000787	.0003313	.0005169	.0008623	.0003098	.0009219	.0014849	.0005723	.0008272	.0015427	.0004435	.0021281	.0042413	.0010672	.000747	.0015405	.0003621	.000461	.0009291	.0002287	.0049771	.0106226	.0023285	.001603	.0037507	.0006847	.000802	.0016481	.0003902	.0011059	.0018014	.0006788	.0005841	.0010283	.0003318	.0004231	.0012301	.0001456	.0004519	.0009243	.000221	.0009651	.001617	.000576	.0007865	.0013897	.0004451	.002586	.0048166	.0013877	.0003077	.0006012	.0001575	.00054	.0010725	.0002718	.0012413	.002362	.0006522	.0005044	.0007945	.0003203	.0007304	.0012054	.0004425	.0019141	.0036821	.0009946	.000688	.0011047	.0004284	.0010545	.0016809	.0006615	.0010451	.0020315	.0005375	.0007723	.0012051	.001667	.002724
21	1	.0004134	.0006205	.0002754	.0009444	.0015183	.0005874	.0004873	.002088	.0001137	.0004549	.000688	.0003007	.0008056	.0013927	.0004659	.0006246	.0009816	.0003974	.0006894	.0010784	.0004407	.0012967	.0020092	.0008368	.0012318	.0019547	.0007761	.000542	.0008309	.0003535	.0005486	.0009112	.0003303	.0009786	.0015684	.0006105	.0008781	.0016314	.0004725	.0022588	.0044863	.0011367	.0007929	.0016299	.0003856	.0004894	.0009829	.0002436	.0052824	.0112383	.002479	.0017015	.0039702	.0007287	.0008513	.0017436	.0004155	.0011739	.0019029	.000724	.00062	.001087	.0003536	.0004492	.0013029	.0001548	.0004797	.000978	.0002353	.0010244	.0017086	.0006142	.0008348	.0014691	.0004743	.0027448	.0050929	.0014785	.0003266	.0006359	.0001677	.0005732	.0011346	.0002895	.0013176	.002498	.0006948	.0005354	.0008389	.0003417	.0007752	.0012735	.0004719	.0020317	.0038946	.0010594	.0007303	.0011668	.000457	.0011194	.0017756	.0007055	.0011094	.0021484	.0005727	.0007723	.0012051	.001667	.002724
22	1	.0004388	.0006554	.0002938	.0010025	.001605	.000626	.0005172	.0022134	.0001208	.0004828	.0007269	.0003207	.0008551	.001473	.0004963	.000663	.0010375	.0004236	.0007318	.0011396	.0004698	.0013764	.002123	.0008923	.0013075	.0020658	.0008274	.0005753	.0008779	.000377	.0005824	.0009634	.000352	.0010387	.0016577	.0006508	.000932	.0017261	.0005032	.0023975	.0047476	.00121	.0008416	.0017252	.0004104	.0005194	.0010402	.0002593	.0056063	.0118946	.002638	.0018061	.0042041	.0007753	.0009036	.0018455	.0004423	.001246	.0020114	.0007718	.0006581	.0011498	.0003767	.0004768	.0013805	.0001646	.0005092	.0010352	.0002505	.0010874	.0018063	.0006545	.0008861	.0015539	.0005053	.0029133	.0053878	.0015744	.0003467	.0006729	.0001786	.0006084	.0012008	.0003082	.0013985	.0026431	.0007398	.0005684	.0008865	.0003644	.0008229	.0013462	.0005029	.0021565	.0041212	.0011279	.0007752	.0012331	.0004873	.0011881	.0018769	.000752	.0011775	.0022732	.0006098	.0007723	.0012051	.001667	.002724
23	1	.0004658	.0006928	.0003131	.0010641	.0016978	.0006668	.000549	.0023468	.0001283	.0005125	.0007686	.0003417	.0009077	.0015588	.0005285	.0007037	.0010974	.0004513	.0007768	.0012052	.0005006	.001461	.0022448	.0009507	.0013878	.0021849	.0008814	.0006107	.0009283	.0004017	.0006182	.0010193	.0003749	.0011026	.0017533	.0006933	.0009893	.0018272	.0005355	.0025448	.0050265	.0012876	.0008933	.0018269	.0004367	.0005514	.0011015	.000276	.0059501	.0125945	.0028061	.001917	.0044534	.0008246	.0009591	.0019543	.0004706	.0013226	.0021276	.0008221	.0006986	.0012168	.000401	.0005061	.0014632	.000175	.0005405	.0010963	.0002665	.0011542	.0019109	.0006971	.0009406	.0016446	.0005379	.0030922	.0057028	.0016757	.000368	.0007124	.0001901	.0006458	.0012715	.0003279	.0014845	.0027981	.0007873	.0006033	.0009374	.0003883	.0008735	.0014241	.0005357	.002289	.0043633	.0012002	.0008228	.0013041	.0005191	.0012612	.0019854	.000801	.0012499	.0024064	.000649	.0007723	.0012051	.001667	.002724
24	1	.0004944	.0007331	.0003335	.0011295	.0017973	.0007098	.0005828	.002489	.0001364	.000544	.0008134	.0003639	.0009635	.0016506	.0005623	.000747	.0011616	.0004804	.0008245	.0012755	.0005329	.0015508	.0023755	.0010123	.0014731	.0023125	.0009383	.0006483	.0009823	.0004278	.0006562	.0010791	.000399	.0011704	.0018558	.000738	.0010502	.0019355	.0005697	.0027012	.0053245	.0013694	.0009483	.0019357	.0004644	.0005853	.0011669	.0002936	.006315	.0133414	.0029836	.0020349	.0047196	.0008767	.0010181	.0020705	.0005005	.0014039	.002252	.0008751	.0007416	.0012887	.0004267	.0005372	.0015513	.000186	.0005738	.0011616	.0002834	.0012252	.002023	.000742	.0009985	.0017416	.0005723	.0032822	.0060396	.0017825	.0003906	.0007547	.0002022	.0006855	.001347	.0003488	.0015758	.0029638	.0008375	.0006404	.000992	.0004134	.0009272	.0015075	.0005702	.0024296	.004622	.0012765	.0008734	.0013802	.0005527	.0013387	.0021017	.0008526	.0013268	.0025487	.0006905	.0007723	.0012051	.001667	.002724
25	1	.0005249	.0007763	.0003549	.0011991	.0019041	.000755	.0006187	.0026405	.0001448	.0005775	.0008615	.0003871	.0010228	.0017491	.000598	.000793	.0012305	.000511	.0008753	.001351	.000567	.0016463	.0025159	.0010771	.0015638	.0024495	.0009982	.0006882	.0010403	.0004552	.0006966	.0011433	.0004244	.0012424	.0019657	.0007851	.0011148	.0020513	.0006058	.0028673	.0056432	.0014559	.0010067	.0020519	.0004938	.0006213	.0012369	.0003121	.0067027	.0141394	.0031711	.0021601	.0050038	.0009317	.0010808	.0021948	.0005321	.0014903	.0023855	.0009309	.0007872	.0013655	.0004538	.0005703	.0016454	.0001976	.0006091	.0012314	.0003012	.0013006	.0021431	.0007892	.0010599	.0018455	.0006086	.003484	.0064	.0018954	.0004147	.0007998	.000215	.0007277	.0014278	.0003709	.0016727	.0031412	.0008904	.0006799	.0010507	.0004399	.0009843	.0015969	.0006066	.0025791	.0048989	.0013571	.0009272	.0014619	.0005881	.0014211	.0022265	.0009069	.0014084	.0027009	.0007342	.0007723	.0012051	.001667	.002724
26	1	.0005573	.0008227	.0003774	.001273	.0020187	.0008026	.0006568	.0028021	.0001538	.0006132	.0009133	.0004116	.0010859	.0018547	.0006357	.0008419	.0013045	.0005433	.0009293	.0014321	.000603	.0017477	.0026667	.0011453	.0016602	.0025966	.0010613	.0007306	.0011027	.0004841	.0007395	.0012122	.0004511	.001319	.0020838	.0008348	.0011836	.0021753	.0006438	.0030439	.0059841	.0015472	.0010687	.0021762	.0005247	.0006597	.0013117	.0003317	.0071148	.0149924	.0033693	.0022932	.0053076	.0009899	.0011474	.0023277	.0005655	.0015822	.0025288	.0009897	.0008358	.001448	.0004824	.0006055	.0017459	.0002099	.0006467	.0013061	.0003201	.0013808	.002272	.0008391	.0011253	.0019569	.0006469	.0036986	.006786	.0020144	.0004403	.0008482	.0002285	.0007726	.0015143	.0003941	.0017759	.0033311	.0009464	.0007218	.0011137	.0004678	.001045	.001693	.0006449	.002738	.0051953	.0014421	.0009844	.0015495	.0006253	.0015087	.0023606	.0009641	.0014953	.0028639	.0007804	.0007723	.0012051	.001667	.002724
27	1	.0005917	.0008727	.0004011	.0013517	.0021418	.0008529	.0006974	.0029746	.0001634	.0006511	.000969	.0004374	.001153	.0019678	.0006754	.0008939	.0013841	.0005773	.0009867	.0015193	.0006407	.0018557	.0028288	.0012171	.0017628	.0027545	.0011279	.0007758	.0011697	.0005145	.0007853	.0012861	.0004794	.0014005	.0022106	.0008872	.0012567	.0023082	.000684	.0032318	.0063491	.0016438	.0011348	.0023093	.0005574	.0007004	.0013919	.0003524	.007553	.0159042	.003579	.0024348	.0056325	.0010515	.0012183	.00247	.0006008	.0016799	.0026827	.0010518	.0008874	.0015364	.0005125	.0006429	.0018532	.0002229	.0006866	.001386	.0003401	.0014662	.0024102	.0008917	.0011948	.0020763	.0006874	.0039268	.0071994	.0021402	.0004675	.0009	.0002428	.0008204	.0016069	.0004187	.0018856	.0035346	.0010055	.0007664	.0011814	.0004972	.0011096	.0017961	.0006854	.0029071	.0055128	.001532	.0010452	.0016438	.0006645	.0016019	.0025048	.0010244	.0015876	.0030385	.0008293	.0007723	.0012051	.001667	.002724
